id,year,decade,dimensions,medium,provenance,title,url,country,creditline,designer,designer_id,designer_url,designer_gender,image_b,image_s,css4_colors,color,area,y
18617253,1980.0,1980.0,Overall: 42.3 x 29 cm (16 5/8 x 11 7/16 in.),screenprint on paper,1981: acquired by Museum,Para-Typography,https://collection.cooperhewitt.org/objects/18617253/,United States,Gift of Various Donors,Frances Butler,18046019,https://collection.cooperhewitt.org/people/18046019/,Girl,https://images.collection.cooperhewitt.org/90078_38a2a8005b438164_b.jpg,https://images.collection.cooperhewitt.org/90078_38a2a8005b438164_sq.jpg,"['#d2b48c', '#a9a9a9', '#808080', '#c0c0c0', '#a0522d']",#d2b48c,1226.6999999999998,1
18617259,1978.0,1970.0,80.2 x 60cm (31 9/16 x 23 5/8in.),offset color lithograph on paper,1981: acquired by Museum,"La Virée Superbe, Peugeot (The Superb Trip)",https://collection.cooperhewitt.org/objects/18617259/,United States,Gift of Various Donors,Seymour Chwast,18042087,https://collection.cooperhewitt.org/people/18042087/,Boy,https://images.collection.cooperhewitt.org/90082_bdbc69be2e131bf6_b.jpg,https://images.collection.cooperhewitt.org/90082_bdbc69be2e131bf6_sq.jpg,"['#87ceeb', '#d2b48c', '#8fbc8f', '#ffebcd', '#dcdcdc']",#87ceeb,4812.0,3
18617265,1980.0,1980.0,55.5 x 53.6 cm (21 7/8 x 21 1/8 in.),lithograph on white paper,1981: acquired by Museum,Intramural Sports,https://collection.cooperhewitt.org/objects/18617265/,United States,Gift of Various Donors,,,,,https://images.collection.cooperhewitt.org/90453_28e3d9bc1e02ce92_b.jpg,https://images.collection.cooperhewitt.org/90453_28e3d9bc1e02ce92_sq.jpg,"['#d3d3d3', '#483d8b', '#cd853f', '#556b2f', '#5f9ea0']",#d3d3d3,2974.8,2
18617317,1980.0,1980.0,123.8 x 65.8 cm (48 3/4 x 25 7/8 in.),lithograph on paper,1981: acquired by Museum,Campaign Gimmick,https://collection.cooperhewitt.org/objects/18617317/,United States,Gift of Various Donors,Lou Dorfsman,18535551,https://collection.cooperhewitt.org/people/18535551/,Boy,https://images.collection.cooperhewitt.org/88918_6b15dada35bf02e0_b.jpg,https://images.collection.cooperhewitt.org/88918_6b15dada35bf02e0_sq.jpg,"['#c0c0c0', '#bc8f8f', '#808080', '#2f4f4f', '#2f4f4f']",#c0c0c0,8146.039999999999,3
18617355,1980.0,1980.0,H x W: 91.5 x 61.1 cm (36 in. x 24 1/16 in.),offset lithograph,1981: acquired by Museum,The Los Angeles World Hunger Event,https://collection.cooperhewitt.org/objects/18617355/,United States,Gift of Various Donors,Milton Glaser,18042107,https://collection.cooperhewitt.org/people/18042107/,Boy,https://images.collection.cooperhewitt.org/49868_6438bbd192001807_b.jpg,https://images.collection.cooperhewitt.org/49868_6438bbd192001807_sq.jpg,"['#deb887', '#2f4f4f', '#696969', '#556b2f', '#cd853f']",#deb887,5590.650000000001,4
18617365,1973.0,1970.0,68.5 x 49.6 cm (26 15/16 x 19 1/2 in.),lithograph and embossing on paper,1981: acquired by Museum,The wise man looks into space...,https://collection.cooperhewitt.org/objects/18617365/,United States,Gift of Various Donors,"Jann Church Advertising & Graphic Design, Inc.",18056983,https://collection.cooperhewitt.org/people/18056983/,Girl,https://images.collection.cooperhewitt.org/90278_fed5cfe9fce9b0f3_b.jpg,https://images.collection.cooperhewitt.org/90278_fed5cfe9fce9b0f3_sq.jpg,"['#a0522d', '#8b4513', '#daa520', '#cd5c5c', '#d2691e']",#a0522d,3397.6,2
18617371,1971.0,1970.0,H x W: 101 x 65.3 cm (39 3/4 x 25 11/16 in.),screenprint on paper,1981: acquired by Museum,"Herman Miller, Open House",https://collection.cooperhewitt.org/objects/18617371/,United States,Gift of Various Donors,Stephen Frykholm,18042365,https://collection.cooperhewitt.org/people/18042365/,Boy,https://images.collection.cooperhewitt.org/80012_8974bde96bee5180_b.jpg,https://images.collection.cooperhewitt.org/80012_8974bde96bee5180_sq.jpg,['#000000'],#000000,6595.299999999999,1
18617373,1976.0,1970.0,H x W: 91.6 × 61.1 cm (36 1/16 × 24 1/16 in.),screenprint on metallic coated paper,1981: acquired by Museum,Friend? Or Foe?,https://collection.cooperhewitt.org/objects/18617373/,United States,Gift of Various Donors,James Miho,18042305,https://collection.cooperhewitt.org/people/18042305/,Boy,https://images.collection.cooperhewitt.org/81923_8ccf830395bcc3d0_b.jpg,https://images.collection.cooperhewitt.org/81923_8ccf830395bcc3d0_sq.jpg,"['#483d8b', '#dc143c']",#483d8b,5596.76,2
18617391,1972.0,1970.0,H x W: 88 x 61.3 cm (34 5/8 x 24 1/8 in.),offset lithograph on white paper,1981: acquired by Museum,Chinese Grocery,https://collection.cooperhewitt.org/objects/18617391/,United States,Gift of Various Donors,Milton Glaser,18042107,https://collection.cooperhewitt.org/people/18042107/,Boy,https://images.collection.cooperhewitt.org/49869_e20e1b0b1f6d422c_b.jpg,https://images.collection.cooperhewitt.org/49869_e20e1b0b1f6d422c_sq.jpg,"['#2f4f4f', '#a9a9a9', '#d2b48c', '#696969', '#808080']",#2f4f4f,5394.4,2
18617395,1979.0,1970.0,H x W: 100.5 x 63.6 cm (39 9/16 x 25 1/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,"Herman Miller, Summer Picnic, July 28, 1979",https://collection.cooperhewitt.org/objects/18617395/,United States,Gift of Various Donors,Stephen Frykholm,18042365,https://collection.cooperhewitt.org/people/18042365/,Boy,https://images.collection.cooperhewitt.org/80016_211e6c34b4a29bbf_b.jpg,https://images.collection.cooperhewitt.org/80016_211e6c34b4a29bbf_sq.jpg,"['#c0c0c0', '#a0522d', '#2f4f4f', '#8b4513', '#cd853f']",#c0c0c0,6391.8,2
